,Nr.,Competiția,Etapa,Proba,Categ. vârstă,Start,Final
0,1,Campionatul Naţional individual de seniori/ senioare,finala,șah clasic,Open,20-feb.,27-feb.
1,2,Campionatul Național de amatori,finala,șah clasic,Open,20-feb.,27-feb.
2,3,Campionatul Naţional pe echipe masculine,Divizia B,șah clasic,Open,1-mar.,20-dec.
3,4,Campionatul Naţional individual de seniori/ senioare,finala,"rapid, blitz, dez",Open,11-mar.,13-mar.
4,5,Campionatul Național Universitar,,"șah rapid, blitz",studenți,2-apr.,3-apr.
5,6,Campionatele Naţionale individuale de juniori,finala,"clasic, rapid, blitz, dez",juniori 8-20 ani,10-apr.,20-apr.
6,7,Romania Grand-Prix - Etapa 1,1,șah rapid,Open,30-apr.,2-mai
7,8,Grand Chess Tour,finala,șah clasic,seniori,3-mai,15-mai
8,9,Street Chess,,blitz,Open,1-iun.,1-iun.
9,10,Romania Grand-Prix - Etapa 2,2,șah clasic,Open,4-iun.,11-iun.
10,11,Campionatul Naţional pe echipe de juniori şi tineret,finala,"clasic, rapid, blitz,",juniori 8-20 ani,2-iul.,9-iul.
11,12,Campionatul Naţional Individual pentru veterani,finala,"clasic, rapid, blitz, dez",Veterani,4-iul.,10-iul.
12,13,Romania Grand-Prix - Etapa 3,3,șah clasic,Open,20-aug.,27-aug.
13,14,Campionatul Naţional pe echipe masculine/ feminine,Superliga,șah clasic,Open,20-sept.,30-sept.
14,15,Campionatul Naţional pe echipe masculine,Divizia A,șah clasic,Open,1-oct.,8-oct.
15,16,Romania Grand-Prix - Etapa 4,4,șah clasic,Open,16-oct.,22-oct.
16,17,Campionatul Național pentru nevăzători,finala,șah clasic,Open,De confirmat,
17,18,Turneul Internaţional al României - feminin,,șah clasic,juniori/junioare,De confirmat,
18,19,Campionatul Naţional pe echipe mixte juniori,finala,șah clasic,juniori,24-oct.,31-oct.
19,20,Romania Grand-Prix - Etapa 5,5,șah rapid,Open,4-nov.,6-nov.
20,21,Divizia B – Turneu de recalificare,șah clasic,Open,28-nov.,2-dec.,
21,22,Campionatul National pe echipe seniori/ senioare,finala,şah rapid & blitz,Open,2-dec.,4-dec.
22,23,Romania Grand-Prix - Finala,6,șah rapid,Open,9-dec.,11-dec
